eid,subject
2-s2.0-85191758578,agricultural & biological sciences
2-s2.0-85190156253,agricultural & biological sciences
2-s2.0-85194157805,earth and planetary sciences
2-s2.0-85194157805,physics and astronomy
2-s2.0-85186509306,medicine
2-s2.0-85187999548,unknown
2-s2.0-85187119651,multidisciplinary
2-s2.0-85174942530,arts and humanities
2-s2.0-85174942530,psychology
2-s2.0-85178409852,arts and humanities
2-s2.0-85178409852,psychology
2-s2.0-85169126126,medicine
2-s2.0-85173534370,arts and humanities
2-s2.0-85173534370,psychology
2-s2.0-85201212383,immunology and microbiology
2-s2.0-85201212383,medicine
2-s2.0-85207293386,agricultural & biological sciences
2-s2.0-105025641361,earth and planetary sciences
2-s2.0-105025641361,physics and astronomy
2-s2.0-105013461003,agricultural & biological sciences
2-s2.0-105013461003,environmental science
2-s2.0-105009914525,computer science
2-s2.0-105009914525,decision sciences
2-s2.0-105009914525,mathematics
2-s2.0-105009914525,social sciences
2-s2.0-105022670986,"biochemistry, genetics & molecular biology"
2-s2.0-105022670986,chemistry
2-s2.0-105022670986,multidisciplinary
2-s2.0-105022670986,physics and astronomy
2-s2.0-105007161094,"biochemistry, genetics & molecular biology"
2-s2.0-105007161094,chemistry
2-s2.0-105007161094,multidisciplinary
2-s2.0-105007161094,physics and astronomy
2-s2.0-105022669450,medicine
2-s2.0-105021281761,medicine
2-s2.0-105023190582,agricultural & biological sciences
2-s2.0-105023190582,environmental science
2-s2.0-105020614786,medicine
2-s2.0-105020614786,neuroscience
2-s2.0-105018631892,earth and planetary sciences
2-s2.0-105018631892,environmental science
2-s2.0-105015589258,medicine
2-s2.0-105017415507,immunology and microbiology
2-s2.0-105017415507,medicine
2-s2.0-105015652841,mathematics
2-s2.0-105015652841,physics and astronomy
2-s2.0-105002026794,agricultural & biological sciences
2-s2.0-105002026794,earth and planetary sciences
2-s2.0-105002026794,environmental science
2-s2.0-105010670026,multidisciplinary
2-s2.0-105003798369,"biochemistry, genetics & molecular biology"
2-s2.0-105003798369,medicine
2-s2.0-85215980143,medicine
2-s2.0-85215980143,psychology
2-s2.0-105002303417,medicine
2-s2.0-105002303417,psychology
2-s2.0-85206663796,medicine
2-s2.0-85217552455,multidisciplinary
2-s2.0-105004346299,computer science
2-s2.0-105014639172,agricultural & biological sciences
2-s2.0-105014639172,immunology and microbiology
2-s2.0-105021032585,unknown
2-s2.0-105022867048,medicine
2-s2.0-85215861817,immunology and microbiology
2-s2.0-85215861817,medicine
2-s2.0-85205003992,medicine
2-s2.0-85205003992,neuroscience
2-s2.0-85205003992,"pharmacology, toxicology and pharmaceutics"
2-s2.0-30144438341,earth and planetary sciences
2-s2.0-58149380871,medicine
2-s2.0-37549056201,"biochemistry, genetics & molecular biology"
2-s2.0-55349129995,"biochemistry, genetics & molecular biology"
2-s2.0-55349129995,medicine
2-s2.0-77953821528,unknown
2-s2.0-84876805471,medicine
2-s2.0-84871716714,medicine
2-s2.0-84901696806,medicine
2-s2.0-84907348191,unknown
